Entity,Identifier
lotus seed,obo:FOODON_00003796
padma,obo:FOODON_00003796
cayenne pepper pod,obo:FOODON_00003798
cayenne pepper,obo:FOODON_00003798
cayenne pepper (dried),obo:FOODON_00003799
konbu blade,obo:FOODON_00003801
konbu leaf,obo:FOODON_00003801
bay leaf,obo:FOODON_00003802
california bay leaf,obo:FOODON_00003803
bay laurel,obo:FOODON_00003804
indian bay leaf,obo:FOODON_00003805
indonesian bay leaf,obo:FOODON_00003806
west Indian bay leaf,obo:FOODON_00003807
mexican bay leaf,obo:FOODON_00003808
rosemary leaf,obo:FOODON_00003809
pink peppercorn,obo:FOODON_00003810
spanish thyme leaf,obo:FOODON_00003811
tarragon leaf,obo:FOODON_00003812
italian prune plum,obo:FOODON_00003813
herb leaf,obo:FOODON_00003814
kelp blade,obo:FOODON_00003815
vegetable,obo:FOODON_00003816
indian-lilac leaf,obo:FOODON_00003817
margosa leaf,obo:FOODON_00003817
mimba leaf,obo:FOODON_00003817
neem leaf,obo:FOODON_00003817
pandan leaf,obo:FOODON_00003818
chaparral leaf,obo:FOODON_00003819
creosote bush,obo:FOODON_00003819
greasewood leaf,obo:FOODON_00003819
candyleaf,obo:FOODON_00003820
stevia leaf,obo:FOODON_00003820
sugarleaf,obo:FOODON_00003820
sweet leaf,obo:FOODON_00003820
sweetleaf,obo:FOODON_00003820
arnica montana leaf,obo:FOODON_00003821
mountain arnica leaf,obo:FOODON_00003821
mountain tobacco leaf,obo:FOODON_00003821
arnica leaf,obo:FOODON_00003822
bitter leaf,obo:FOODON_00003823
chamomile leaf,obo:FOODON_00003824
manzanilia leaf,obo:FOODON_00003824
balsam-pear leaf,obo:FOODON_00003825
bitter gourd leaf,obo:FOODON_00003825
bitter melon leaf,obo:FOODON_00003825
bitter squash leaf,obo:FOODON_00003825
cerasee leaf,obo:FOODON_00003825
savory leaf,obo:FOODON_00003826
summer savory leaf,obo:FOODON_00003827
winter savory leaf,obo:FOODON_00003828
barberry bark,obo:FOODON_00003829
gray sagewort leaf,obo:FOODON_00003830
louisiana wormwood leaf,obo:FOODON_00003830
silver wormwood leaf,obo:FOODON_00003830
western mugwort leaf,obo:FOODON_00003830
white sagebrush leaf,obo:FOODON_00003830
estafiate wormwood leaf,obo:FOODON_00003830
red pear tomato,obo:FOODON_00003831
charoli seed,obo:FOODON_00003832
chironji seed,obo:FOODON_00003832
ipil-ipil,obo:FOODON_00003833
jumbay,obo:FOODON_00003833
river tamarind,obo:FOODON_00003833
white leadtree,obo:FOODON_00003833
white popinac,obo:FOODON_00003833
river tamarind seed,obo:FOODON_00003833
acacia leaf,obo:FOODON_00003835
cha-om leaf,obo:FOODON_00003835
acacia seed,obo:FOODON_00003836
soy sprout,obo:FOODON_00003837
soyabean sprout,obo:FOODON_00003837
soybean sprout,obo:FOODON_00003837
Kra thom Na leaf,obo:FOODON_00003838
Mitragyna javanica leaf,obo:FOODON_00003838
kra thom na leaf,obo:FOODON_00003838
kaim leaf,obo:FOODON_00003839
romaine heart,obo:FOODON_00003840
romaine lettuce heart,obo:FOODON_00003840
cheese core,obo:FOODON_00003841
true nutrient retention factor,obo:FOODON_00003843
apparent nutrient retention factor,obo:FOODON_00003844
pig ear,obo:FOODON_00003845
pig's ear,obo:FOODON_00003845
porcine pig ear,obo:FOODON_00003845
pork ear,obo:FOODON_00003845
bull pizzle,obo:FOODON_00003846
bull stick,obo:FOODON_00003846
bully stick,obo:FOODON_00003846
pizzle dog treat,obo:FOODON_00003846
pizzle stick,obo:FOODON_00003846
meat for dog,obo:FOODON_00003847
meat for dog food,obo:FOODON_00003847
dried pig ear,obo:FOODON_00003848
dried pork ear,obo:FOODON_00003848
pig ear (dried),obo:FOODON_00003848
pork ear (dried),obo:FOODON_00003848
chicken blend,obo:FOODON_00003849
chicken mixture,obo:FOODON_00003849
blend for pet,obo:FOODON_00003850
multi-component pet,obo:FOODON_00003850
blend for cat,obo:FOODON_00003851
multi-component cat,obo:FOODON_00003851
blend for dog,obo:FOODON_00003852
multi-component dog,obo:FOODON_00003852
bird food,obo:FOODON_00003853
bird feed,obo:FOODON_00003853
soya bean butter,obo:FOODON_00003854
soybean butter,obo:FOODON_00003854
soynut butter,obo:FOODON_00003854
soy nut butter,obo:FOODON_00003854
tahina,obo:FOODON_00003855
tahini,obo:FOODON_00003855
coconut meat,obo:FOODON_00003856
frozen coconut meat,obo:FOODON_00003857
coconut meat (frozen),obo:FOODON_00003857
jong gouda,obo:FOODON_00003858
young gouda,obo:FOODON_00003858
graskass gouda,obo:FOODON_00003859
graskaas gouda,obo:FOODON_00003859
farmhouse style cheese,obo:FOODON_00003860
farmhouse-style cheese,obo:FOODON_00003860
farmhouse cheese,obo:FOODON_00003860
boerenkass gouda,obo:FOODON_00003861
boerenkass cheese,obo:FOODON_00003861
fermented nut,obo:FOODON_00003862
nut cheese,obo:FOODON_00003863
flaked coconut,obo:FOODON_00003864
coconut flake,obo:FOODON_00003864
coconut cheese alternative,obo:FOODON_00003865
coconut cheese analogue,obo:FOODON_00003865
coconut cheese,obo:FOODON_00003865
cashew mylk,obo:FOODON_00003866
cashew milk,obo:FOODON_00003866
cashew cheese alternative,obo:FOODON_00003867
cashew cheese analogue,obo:FOODON_00003867
cashew cheese,obo:FOODON_00003867
almond cheese alternative,obo:FOODON_00003868
almond cheese analogue,obo:FOODON_00003868
almond cheese,obo:FOODON_00003868
deggi pepper,obo:FOODON_00003869
ají amarillo sauce,obo:FOODON_00003870
aji amarillo paste,obo:FOODON_00003870
bavarian loaf,obo:FOODON_00003871
fleischkase,obo:FOODON_00003871
fleischkäse,obo:FOODON_00003871
leberkas,obo:FOODON_00003871
leberkäs,obo:FOODON_00003871
leberkäse,obo:FOODON_00003871
leberkase,obo:FOODON_00003871
minced sirloin meat,obo:FOODON_00003872
ground sirloin,obo:FOODON_00003872
white tahina,obo:FOODON_00003873
white tahini,obo:FOODON_00003873
corn on-the-cob (raw),obo:FOODON_00003874
choco ball,obo:FOODON_00003875
chocolate ball,obo:FOODON_00003875
ranch sandwich,obo:FOODON_00003876
spring roll,obo:FOODON_00003877
american ginseng root,obo:FOODON_00003878
milk chocolate candy bar,obo:FOODON_00003879
milk chocolate bar,obo:FOODON_00003879
muffuletta,obo:FOODON_00003880
muffaletta,obo:FOODON_00003880
grinder,obo:FOODON_00003881
hero,obo:FOODON_00003881
hoagie,obo:FOODON_00003881
sub,obo:FOODON_00003881
torpedo,obo:FOODON_00003881
submarine sandwich,obo:FOODON_00003881
kafta,obo:FOODON_00003882
kofta,obo:FOODON_00003882
salsa cruda,obo:FOODON_00003883
salsa fresca,obo:FOODON_00003883
pico de gallo,obo:FOODON_00003883
pastramă,obo:FOODON_00003884
pastrami,obo:FOODON_00003884
mixed green vegetables,obo:FOODON_00003885
mixed green veggies,obo:FOODON_00003885
mixed leafy vegetables,obo:FOODON_00003885
mixed leafy veggies,obo:FOODON_00003885
mixed greens,obo:FOODON_00003885
veggie booty,obo:FOODON_00003886
food paste,obo:FOODON_00003887
food (paste),obo:FOODON_00003887
salad sand,obo:FOODON_00003888
salad sandwich,obo:FOODON_00003888
blended food,obo:FOODON_00003889
food (blend),obo:FOODON_00003889
chili dog,obo:FOODON_00003890
beefhide,obo:FOODON_00003891
cowhide,obo:FOODON_00003891
beefhide dog chew,obo:FOODON_00003891
puppy food,obo:FOODON_00003892
chinese ginseng root,obo:FOODON_00003893
japanese ginseng root,obo:FOODON_00003894
bok choy leaf,obo:FOODON_00003895
pok choi,obo:FOODON_00003895
bok choy rosette,obo:FOODON_00003896
shanghai bok choy leaf,obo:FOODON_00003897
shanghai bok choy rosette,obo:FOODON_00003898
agushi,obo:FOODON_00003899
agushi seed,obo:FOODON_00003899
agusi,obo:FOODON_00003899
agusi seed,obo:FOODON_00003899
egwusi,obo:FOODON_00003899
ohue,obo:FOODON_00003899
egusi seed,obo:FOODON_00003899
european red raspberry leaf,obo:FOODON_00003900
garden raspberry leaf,obo:FOODON_00003900
red raspberry leaf,obo:FOODON_00003900
common mullein leaf,obo:FOODON_00003901
great mullein leaf,obo:FOODON_00003901
mullein leaf,obo:FOODON_00003901
river tamarind pod,obo:FOODON_00003902
Actaea racemosa root,obo:FOODON_00003903
black cohost root,obo:FOODON_00003903
ginkgo biloba leaf,obo:FOODON_00003904
ginkgo leaf,obo:FOODON_00003904
Ginkgo biloba leaf,obo:FOODON_00003904
milk thistle seed,obo:FOODON_00003905
Silybum marianum seed,obo:FOODON_00003905
St. John's wort flower,obo:FOODON_00003906
Hypericum perforatum flower,obo:FOODON_00003906
spinach (cooked),obo:FOODON_00003908
almond meat,obo:FOODON_00003909
bob veal,obo:FOODON_00003910
formula-fed veal,obo:FOODON_00003911
milk fed veal,obo:FOODON_00003911
milk-fed veal,obo:FOODON_00003911
special fed veal,obo:FOODON_00003911
special-fed veal,obo:FOODON_00003911
white veal,obo:FOODON_00003911
formula fed veal,obo:FOODON_00003911
teriyaki cooking method,obo:FOODON_00003912
cattle feed supplement,obo:FOODON_00003913
cattle supplement,obo:FOODON_00003913
animal feed supplement for cattle,obo:FOODON_00003913
de árbol powder,obo:FOODON_00003914
red arbol powder,obo:FOODON_00003914
de arbol powder,obo:FOODON_00003914
habanero powder,obo:FOODON_00003915
aloe vera powder,obo:FOODON_00003916
neem powder,obo:FOODON_00003917
neem leaf powder,obo:FOODON_00003917
lemon grass powder,obo:FOODON_00003918
lemongrass powder,obo:FOODON_00003918
almond meal,obo:FOODON_00003919
blanched almond meal,obo:FOODON_00003920
natural almond meal,obo:FOODON_00003921
animal feed supplement,obo:FOODON_00003922
whole grain bread,obo:FOODON_00003923
corndog,obo:FOODON_00003924
corn dog,obo:FOODON_00003924
chia seed powder,obo:FOODON_00003925
random sample meat cut,obo:FOODON_00003926
random sample animal meat cut,obo:FOODON_00003926
feather meal,obo:FOODON_00003927
pizza,obo:FOODON_00003928
margherita pizza,obo:FOODON_00003929
hawaiian pizza,obo:FOODON_00003930
barbeque pizza,obo:FOODON_00003931
bbq pizza,obo:FOODON_00003931
barbecue pizza,obo:FOODON_00003931
buffalo pizza,obo:FOODON_00003932
4 cheese pizza,obo:FOODON_00003933
four cheese pizza,obo:FOODON_00003933
pesto pizza,obo:FOODON_00003934
chicken pesto pizza,obo:FOODON_00003935
veggie pesto pizza,obo:FOODON_00003936
vegetarian pesto pizza,obo:FOODON_00003936
barbeque chicken pizza,obo:FOODON_00003937
bbq chicken pizza,obo:FOODON_00003937
barbecue chicken pizza,obo:FOODON_00003937
whole oat bread,obo:FOODON_00003938
caffeinated diet pop,obo:FOODON_00003939
caffeinated diet soda,obo:FOODON_00003939
diet soft drink (caffeinated),obo:FOODON_00003939
caffeinated pop,obo:FOODON_00003940
caffeinated soda,obo:FOODON_00003940
soft drink (caffeinated),obo:FOODON_00003940
"tea (liquid, decafeinated)",obo:FOODON_00003941
"tea (liquid, caffeinated)",obo:FOODON_00003942
"coffee (liquid, decafeinated)",obo:FOODON_00003943
dairy-based coffee drink,obo:FOODON_00003944
cow milk cheese (nonfat),obo:FOODON_00003945
winter squash,obo:FOODON_00003946
sucralose-based sweetener,obo:FOODON_00003947
aspartame-based sweetener,obo:FOODON_00003948
saccharin-based sweetener,obo:FOODON_00003949
whole grain,obo:FOODON_00003950
conure,obo:FOODON_00003951
shoat,obo:FOODON_00003952
piglet,obo:FOODON_00003952
eagle,obo:FOODON_00003953
angulate volute,obo:FOODON_00003954
Zidona dufresnei,obo:FOODON_00003954
bent surfclam,obo:FOODON_00003955
zebra perch,obo:FOODON_00003955
Mactrotoma nasuta,obo:FOODON_00003955
bigeye squid,obo:FOODON_00003956
Loligo ocula,obo:FOODON_00003956
blotchwing flyingfish,obo:FOODON_00003957
Cheilopogon heterurus hubbsi,obo:FOODON_00003957
blue-lined leatherjacket,obo:FOODON_00003958
Meuschenia galii,obo:FOODON_00003958
california surfclam,obo:FOODON_00003959
Mactrotoma californica,obo:FOODON_00003959
carolina hake,obo:FOODON_00003960
Urophycis earllii,obo:FOODON_00003960
clearwing flyingfish,obo:FOODON_00003961
Cypselurus comatus,obo:FOODON_00003961
decussate bittersweet,obo:FOODON_00003962
Glycymeris decussata,obo:FOODON_00003962
dish surfclam,obo:FOODON_00003963
Mactromeris catilliformis,obo:FOODON_00003963
flat anchovy,obo:FOODON_00003964
Anchoviella perfasciata,obo:FOODON_00003964
flat surfclam,obo:FOODON_00003965
Simomactra planulata,obo:FOODON_00003965
golden deepsea crab,obo:FOODON_00003966
Chaceon fenneri,obo:FOODON_00003966
guinean threadfin,obo:FOODON_00003967
Galeoides decadactylus,obo:FOODON_00003967
hatchet surfclam,obo:FOODON_00003968
Simomactra dolabriformis,obo:FOODON_00003968
hemphill surfclam,obo:FOODON_00003969
Mactromeris hemphillii,obo:FOODON_00003969
hooked surfclam,obo:FOODON_00003970
Simomactra falcata,obo:FOODON_00003970
lined scallop,obo:FOODON_00003971
Argopecten lineolaris,obo:FOODON_00003971
longjaw cisco,obo:FOODON_00003972
Coregonus alpenae,obo:FOODON_00003972
mexican scad,obo:FOODON_00003973
Decapterus scombrinus,obo:FOODON_00003973
namorado sandperch,obo:FOODON_00003974
Pseudopercis numida,obo:FOODON_00003974
pacific sandperch,obo:FOODON_00003975
Prolatilus jugularis,obo:FOODON_00003975
panamanian ilisha,obo:FOODON_00003976
Ilisha fuerthii,obo:FOODON_00003976
pelican flounder,obo:FOODON_00003977
Chascanopsetta crumenalis,obo:FOODON_00003977
plain bonito,obo:FOODON_00003978
Orcynopsis unicolor,obo:FOODON_00003978
pointed-tailed goby,obo:FOODON_00003979
Pseudapocryptes elongates,obo:FOODON_00003979
rock crab,obo:FOODON_00003980
Cancer anthonyi,obo:FOODON_00003980
sabah grouper,obo:FOODON_00003981
Epinephelus fucoglottus x Epinephelus lanceolatus,obo:FOODON_00003981
san diego scallop,obo:FOODON_00003982
Euvola diegensis,obo:FOODON_00003982
sawtooth penshell,obo:FOODON_00003983
Atrina serrata,obo:FOODON_00003983
sheep crab,obo:FOODON_00003984
Loxorhynchus grandis,obo:FOODON_00003984
shortneck clam,obo:FOODON_00003985
Tapes variegata,obo:FOODON_00003985
shortnosed flyingfish,obo:FOODON_00003986
Cypselurus simus,obo:FOODON_00003986
spotted cardinalfish,obo:FOODON_00003987
Ostorhinchus maculiferus,obo:FOODON_00003987
spreadfin skate,obo:FOODON_00003988
Dipturus olseni,obo:FOODON_00003988
thicktail cardinalfish,obo:FOODON_00003989
Epigonus crassicaudus,obo:FOODON_00003989
titi shrimp,obo:FOODON_00003990
Protrachypene precipua,obo:FOODON_00003990
white eel,obo:FOODON_00003991
Conger cinereus marginatus,obo:FOODON_00003991
white saddle goatfish,obo:FOODON_00003992
Parupenaeus cilatus,obo:FOODON_00003992
white snake mackerel,obo:FOODON_00003993
Thyrsitops lepidopoides,obo:FOODON_00003993
skewed ark,obo:FOODON_00003994
Anadara baughmani,obo:FOODON_00003994
scallop,obo:FOODON_00003995
Argopecten aequisulcatus,obo:FOODON_00003995
california venus,obo:FOODON_00003996
Chione californiensis,obo:FOODON_00003996
hybrid clarias catfish,obo:FOODON_00003997
Heterobranchus longifilis x Clarias gariepinus,obo:FOODON_00003997
frilled venus,obo:FOODON_00003998
Chione undatella,obo:FOODON_00003998
Chlamys circularis aequisculata,obo:FOODON_00003999
peruvian calico scallop,obo:FOODON_00004000
Chlamys purpurata,obo:FOODON_00004000
conger eel,obo:FOODON_00004001
Conger oligoporus,obo:FOODON_00004001
shortnose cisco,obo:FOODON_00004002
Coregonus reighardi,obo:FOODON_00004002
kumamoto oyster,obo:FOODON_00004003
Crassostrea gigas kumamoto,obo:FOODON_00004003
new zealand rock oyster,obo:FOODON_00004004
Crassostrea glomerata,obo:FOODON_00004004
koheru,obo:FOODON_00004005
Decapterus koheru,obo:FOODON_00004005
texas coquina,obo:FOODON_00004006
Donax texasianus,obo:FOODON_00004006
pebbletooth moray,obo:FOODON_00004007
Echidna peli,obo:FOODON_00004007
dot-dash grouper,obo:FOODON_00004008
Epinephalus poecitonotus,obo:FOODON_00004008
spotjaw moray,obo:FOODON_00004009
Gymnothorax mareei,obo:FOODON_00004009
giant false coquina,obo:FOODON_00004010
Iphigenia brasiliana,obo:FOODON_00004010
rufous snapper,obo:FOODON_00004011
Lutjanus jordani,obo:FOODON_00004011
hen clam,obo:FOODON_00004012
Mactra sachalinensis,obo:FOODON_00004012
redeye mullet,obo:FOODON_00004013
Mugil gaimardianus,obo:FOODON_00004013
atlantic geoduck,obo:FOODON_00004014
Panopea bitruncata,obo:FOODON_00004014
smalleye flounder,obo:FOODON_00004015
Paralichthys microps,obo:FOODON_00004015
atlantic sanguin,obo:FOODON_00004016
Sanguinolaria sanguinolenta,obo:FOODON_00004016
atlantic razor,obo:FOODON_00004017
Siliqua costata,obo:FOODON_00004017
rosy jackknife,obo:FOODON_00004018
Solen rostriformis,obo:FOODON_00004018
green jackknife,obo:FOODON_00004019
Solen viridis,obo:FOODON_00004019
jamuna ailia,obo:FOODON_00004020
Ailichthys punctatus,obo:FOODON_00004020
sea eel,obo:FOODON_00004021
Bathycongrus aequoreus,obo:FOODON_00004021
blue croaker,obo:FOODON_00004022
Corvula batabana,obo:FOODON_00004022
painted sweetlips,obo:FOODON_00004023
Diagramma pictum,obo:FOODON_00004023
bittersweet,obo:FOODON_00004024
Glycymeris laticostata,obo:FOODON_00004024
violet bittersweet,obo:FOODON_00004025
Glycymeris violacescens,obo:FOODON_00004025
blacktail pike-conger,obo:FOODON_00004026
Hoplunnis diomediana,obo:FOODON_00004026
pico,obo:FOODON_00004027
Megabalanus psittacus,obo:FOODON_00004027
sandperch,obo:FOODON_00004028
Mugiloides fasciatus,obo:FOODON_00004028
blue morwong,obo:FOODON_00004029
Nemadactylus carponotatus,obo:FOODON_00004029
Neotropius acutirostris,obo:FOODON_00004030
giant african threadfin,obo:FOODON_00004031
Polydactylus quadrifilis,obo:FOODON_00004031
spotted gurnard,obo:FOODON_00004032
Pterygotrigla picta,obo:FOODON_00004032
palometta permit,obo:FOODON_00004033
Trachinotus kennedyi,obo:FOODON_00004033
spanish slipper lobster,obo:FOODON_00004034
Scyllarides aequinoctialis,obo:FOODON_00004034
golden carpet shell,obo:FOODON_00004035
Venerupis aureus,obo:FOODON_00004035
grape destemming,obo:FOODON_00004036
fruit crushing,obo:FOODON_00004037
grape crushing,obo:FOODON_00004038
destemmed grape must,obo:FOODON_00004039
grape pressing,obo:FOODON_00004040
destemmed grape pressing,obo:FOODON_00004041
whole-cluster grape pressing,obo:FOODON_00004042
grape crushing and destemming,obo:FOODON_00004043
free-run grape juice,obo:FOODON_00004044
pressed grape juice,obo:FOODON_00004045
grape solids,obo:FOODON_00004046
marc,obo:FOODON_00004046
grape pomace,obo:FOODON_00004046
sweet wine,obo:FOODON_00004047
QWpsr,obo:FOODON_00004049
Quality Wine psr,obo:FOODON_00004049
quality wines,obo:FOODON_00004049
vino de calidad producido en región determinada,obo:FOODON_00004049
Quality Wines Produced in Specified Regions,obo:FOODON_00004049
rosé wine must,obo:FOODON_00004050
red wine must,obo:FOODON_00004051
white wine must,obo:FOODON_00004052
Vintners Quality Alliance,obo:FOODON_00004053
American Viticultural Area,obo:FOODON_00004054
Denominación de origen,obo:FOODON_00004055
Spanish wine production framework,obo:FOODON_00004056
denominación de origin,obo:FOODON_00004057
protected denomination of origin,obo:FOODON_00004057
Denominación de Origen Protegida,obo:FOODON_00004057
denomination of qualified origin,obo:FOODON_00004058
Denominación de Origen Calificada,obo:FOODON_00004058
estate wine,obo:FOODON_00004059
Vino de Pago,obo:FOODON_00004059
quality wine with geographic indication,obo:FOODON_00004060
Vino de Calidad con indicación geográfica,obo:FOODON_00004060
Indicación geográfica protegida,obo:FOODON_00004061
table wine,obo:FOODON_00004062
Vino de Mesa,obo:FOODON_00004062
red grape plant,obo:FOODON_00004063
white grape plant,obo:FOODON_00004064
Table Wine (deprecated EU standard),obo:FOODON_00004065
white grape cluster,obo:FOODON_00004066
red grape cluster,obo:FOODON_00004067
vinification,obo:FOODON_00004068
winemaking,obo:FOODON_00004068
wine maceration,obo:FOODON_00004069
conventional maceration,obo:FOODON_00004070
thermo-maceration,obo:FOODON_00004071
thermo-vinification,obo:FOODON_00004071
thermomaceration,obo:FOODON_00004071
hot maceration,obo:FOODON_00004071
limited maceration,obo:FOODON_00004072
extended maceration,obo:FOODON_00004073
cold soak,obo:FOODON_00004074
cold maceration,obo:FOODON_00004074
carbonic maceration,obo:FOODON_00004075
dill leaf (dried),obo:FOODON_00004076
food recipe,obo:FOODON_00004081
ingredient set,obo:FOODON_00004082
device set,obo:FOODON_00004083
instruction set,obo:FOODON_00004084
ingredient specification,obo:FOODON_00004085
device specification,obo:FOODON_00004086
boiling water,obo:FOODON_00004090
boiling mixture,obo:FOODON_00004091
pork frank,obo:FOODON_00004095
pork frankfurter,obo:FOODON_00004095
monensin mash,obo:FOODON_00004096
yucca root powder,obo:FOODON_00004097
yucca powder,obo:FOODON_00004097
satavar powder,obo:FOODON_00004098
shatamull powder,obo:FOODON_00004098
shatawari powder,obo:FOODON_00004098
shatavari powder,obo:FOODON_00004098
morinda powder,obo:FOODON_00004099
food material by component concentration,obo:FOODON_00004100
high mercury food material,obo:FOODON_00004101
high fructose food material,obo:FOODON_00004102
high fibre food material,obo:FOODON_00004103
flour (bleached),obo:FOODON_00004105
sheep milk feta cheese,obo:FOODON_00004107
cow milk feta cheese,obo:FOODON_00004108
goat milk feta cheese,obo:FOODON_00004109
pikliz,obo:FOODON_00004110
pennywort juice,obo:FOODON_00004112
pennywort juice (frozen),obo:FOODON_00004113
celeriac stalk,obo:FOODON_00004115
pig's heart,obo:FOODON_00004116
porcine heart,obo:FOODON_00004116
pork heart,obo:FOODON_00004116
rolled taco,obo:FOODON_00004117
taquito,obo:FOODON_00004117
chicken strip,obo:FOODON_00004118
liver (chopped),obo:FOODON_00004119
celeriac root,obo:FOODON_00004120
chinese celery stalk,obo:FOODON_00004121
leaf celery stalk,obo:FOODON_00004121
pet chew,obo:FOODON_00004122
celery (Dulce Group),obo:FOODON_00004123
celeriac stalk (raw),obo:FOODON_00004124
dog chew,obo:FOODON_00004125
cat treat,obo:FOODON_00004126
cat chew,obo:FOODON_00004127
blood clam,obo:FOODON_00004128
blood clam (raw),obo:FOODON_00004129
blood cockle (raw),obo:FOODON_00004129
mixed food,obo:FOODON_00004130
food mixture,obo:FOODON_00004130
celeriac root (raw),obo:FOODON_00004131
leaf celery stalk (raw),obo:FOODON_00004132
golden kiwifruit (raw),obo:FOODON_00004134
Chinese chive leaf,obo:FOODON_00004135
Chinese chive leaf (raw),obo:FOODON_00004136
beetroot (raw),obo:FOODON_00004137
zucchini squash (raw),obo:FOODON_00004138
imitation seafood,obo:FOODON_00004139
imitation lobster,obo:FOODON_00004140
imitation shrimp,obo:FOODON_00004141
rabbit patty,obo:FOODON_00004142
braided pizzle stick,obo:FOODON_00004143
poultry by-product,obo:FOODON_00004144
butterfly shrimp,obo:FOODON_00004145
beef formula,obo:FOODON_00004146
Mangifera minor fruit,obo:FOODON_00004147
English walnut,obo:FOODON_00004148
english walnut,obo:FOODON_00004148
European plum,obo:FOODON_00004149
european plum (raw),obo:FOODON_00004150
common pear (raw),obo:FOODON_00004151
Harbin pear,obo:FOODON_00004152
Manchurian pear,obo:FOODON_00004152
Ussurian pear,obo:FOODON_00004152
new mexico chili powder,obo:FOODON_00004153
chinese ginger,obo:FOODON_00004154
chinese keys,obo:FOODON_00004154
fingerroot,obo:FOODON_00004154
krachai,obo:FOODON_00004154
krachai powder,obo:FOODON_00004155
kapi kachu powder,obo:FOODON_00004157
kapikachu powder,obo:FOODON_00004157
hog meal,obo:FOODON_00004158
seal meat,obo:FOODON_00004160
plant based powder,obo:FOODON_00004161
moringa leaf powder,obo:FOODON_00004162
capsicum powder,obo:FOODON_00004163
incense powder,obo:FOODON_00004164
animal by-product,obo:FOODON_00004165
"cut of beef, mexican",obo:FOODON_00004166
diezmillo,obo:FOODON_00004167
meat (tenderized),obo:FOODON_00004168
prepared chicken wing,obo:FOODON_00004169
Manchurian pear (raw),obo:FOODON_00004170
mini-bite treat,obo:FOODON_00004171
petite treat,obo:FOODON_00004171
small pet treat,obo:FOODON_00004171
feed stuff,obo:FOODON_00004172
feedstuff (food for agricultural animals),obo:FOODON_00004172
saku block,obo:FOODON_00004173
saku,obo:FOODON_00004173
kratom leaf powder,obo:FOODON_00004174
indo kratom leaf powder,obo:FOODON_00004175
five-spice powder,obo:FOODON_00004176
chinese five spice powder,obo:FOODON_00004176
protein mix,obo:FOODON_00004177
protein blend,obo:FOODON_00004177
salmon (raw),obo:FOODON_00004178
Mangifera minor fruit (raw),obo:FOODON_00004179
Saba banana,obo:FOODON_00004180
Musa balbisiana banana,obo:FOODON_00004181
Musa balbisiana banana (raw),obo:FOODON_00004182
banana,obo:FOODON_00004183
banana (raw),obo:FOODON_00004184
Malus sieversii apple,obo:FOODON_00004185
Pink apple,obo:FOODON_00004186
Pink apple (raw),obo:FOODON_00004187
quinoa seed,obo:FOODON_00004188
Good-King-Henry,obo:FOODON_00004189
Good-King-Henry seed,obo:FOODON_00004190
Good-King-Henry leaf,obo:FOODON_00004191
Good-King-Henry stem,obo:FOODON_00004192
Good-King-Henry seed (dried),obo:FOODON_00004193
tree spinach,obo:FOODON_00004194
tree spinach leaf,obo:FOODON_00004195
tree spinach seed,obo:FOODON_00004196
tree spinach stem,obo:FOODON_00004197
raspberry orange,obo:FOODON_00004198
blood orange,obo:FOODON_00004198
blood orange (raw),obo:FOODON_00004199
mamey apple (raw),obo:FOODON_00004200
Red Delicious apple (raw),obo:FOODON_00004201
Golden Delicious apple,obo:FOODON_00004202
golden delicious apple,obo:FOODON_00004203
Golden Delicious apple (raw),obo:FOODON_00004203
Gala apple (raw),obo:FOODON_00004204
Fuji apple (raw),obo:FOODON_00004205
Granny Smith apple (raw),obo:FOODON_00004206
cumin (powdered),obo:FOODON_00004207
Alaska blueberry,obo:FOODON_00004208
Alaska blueberry (raw),obo:FOODON_00004209
casaba melon,obo:FOODON_00004210
casaba melon (raw),obo:FOODON_00004211
Morello cherry,obo:FOODON_00004212
Amarelle cherry,obo:FOODON_00004213
Amarelle cherry (raw),obo:FOODON_00004214
Morello cherry (raw),obo:FOODON_00004215
rye kernel (dried),obo:FOODON_00004216
Amarelle cherry plant,obo:FOODON_00004217
sour cherry (raw),obo:FOODON_00004218
oat kernel (dried),obo:FOODON_00004219
buckwheat seed,obo:FOODON_00004220
chokecherry,obo:FOODON_00004222
chokecherry (raw),obo:FOODON_00004223
strawberry guava,obo:FOODON_00004224
Chinese guava,obo:FOODON_00004225
cattley guava,obo:FOODON_00004225
purple guava,obo:FOODON_00004225
strawberry guava (raw),obo:FOODON_00004225
jujube fruit (dried),obo:FOODON_00004227
lychee (raw),obo:FOODON_00004228
oheloberry (raw),obo:FOODON_00004229
anjou pear,obo:FOODON_00004230
Anjou pear,obo:FOODON_00004231
Beurré d' Anjou,obo:FOODON_00004231
D'Anjou pear,obo:FOODON_00004231
anjou pear (raw),obo:FOODON_00004231
Red Anjou,obo:FOODON_00004232
red anjou pear (raw),obo:FOODON_00004232
Green Anjou,obo:FOODON_00004233
green anjou pear (raw),obo:FOODON_00004233
buckwheat seed (dried),obo:FOODON_00004234
Monterey Jack cheese product,obo:FOODON_00004235
green bean pod (raw),obo:FOODON_00004236
chicken (whole or pieces),obo:FOODON_00004237
MD2 Super Sweet pineapple (raw),obo:FOODON_00004238
chicken meat,obo:FOODON_00004239
japanese persimmon (raw),obo:FOODON_00004240
pomelo fruit (raw),obo:FOODON_00004241
roselle calyx,obo:FOODON_00004243
roselle calyx (raw),obo:FOODON_00004244
