Entity,Identifier
ground meat,obo:FOODON_00000072
meat (ground),obo:FOODON_00000072
fines,obo:FOODON_00000073
cereal food fines (byproduct),obo:FOODON_00000073
tortoise,obo:FOODON_00000074
pea (whole or pieces),obo:FOODON_00000075
orange juice (liquid),obo:FOODON_00001001
fermented agave juice,obo:FOODON_00001003
fermenting sugar cane juice,obo:FOODON_00001004
fermenting elaeis palm sap,obo:FOODON_00001005
mammalian meat,obo:FOODON_00001006
liver paste,obo:FOODON_00001008
hotdog,obo:FOODON_00001009
hot dog,obo:FOODON_00001009
processed meat,obo:FOODON_00001010
milk formula,obo:FOODON_00001011
milk formula (powdered),obo:FOODON_00001012
yoghourt,obo:FOODON_00001014
yougert,obo:FOODON_00001014
yogurt,obo:FOODON_00001014
plant,obo:FOODON_00001015
commercial yogurt,obo:FOODON_00001017
cheese starter culture,obo:FOODON_00001018
wort,obo:FOODON_00001019
beer wort,obo:FOODON_00001020
acifified beer wort,obo:FOODON_00001021
Bresse Blue,obo:FOODON_00001022
Bleu de Bresse cheese,obo:FOODON_00001022
mammalian milk butter,obo:FOODON_00001023
pickled cabbage,obo:FOODON_00001024
Brie cheese,obo:FOODON_00001028
halloumi cheese,obo:FOODON_00001030
Emmental cheese,obo:FOODON_00001033
Emmentaler cheese,obo:FOODON_00001033
emmenthal cheese,obo:FOODON_00001033
Harzerkaese,obo:FOODON_00001034
harzer cheese,obo:FOODON_00001034
new zealand cheddar cheese,obo:FOODON_00001035
pont ieveque cheese,obo:FOODON_00001036
vacherin mont dor cheese,obo:FOODON_00001037
pork,obo:FOODON_00001038
pork meat,obo:FOODON_00001038
beef,obo:FOODON_00001041
bovine milk beverage,obo:FOODON_00001042
ovine milk beverage,obo:FOODON_00001043
caprine milk beverage,obo:FOODON_00001044
ice cream,obo:FOODON_00001045
ice-cream,obo:FOODON_00001045
animal sea,obo:FOODON_00001046
meshanger cheese,obo:FOODON_00001048
fermented rice beverage,obo:FOODON_00001051
amasake,obo:FOODON_00001052
fermented dairy,obo:FOODON_00001053
fermented fish or seafood,obo:FOODON_00001054
sea water fish,obo:FOODON_00001055
plant fruit,obo:FOODON_00001057
fruit extract,obo:FOODON_00001058
apple juice,obo:FOODON_00001059
awamori,obo:FOODON_00001060
fermented millet,obo:FOODON_00001062
millet beer,obo:FOODON_00001063
bottled beer,obo:FOODON_00001064
blue cheese,obo:FOODON_00001065
bottled fruit,obo:FOODON_00001066
fermented fruit,obo:FOODON_00001069
grape must,obo:FOODON_00001071
barley malt vinegar,obo:FOODON_00001074
"mammalian milk (nonfat, dry)",obo:FOODON_00001075
salt pork meat,obo:FOODON_00001077
fermented soybean,obo:FOODON_00001078
pickled,obo:FOODON_00001079
food (pickled),obo:FOODON_00001079
tape kefan,obo:FOODON_00001080
Bondon cheese,obo:FOODON_00001081
bitter cheese,obo:FOODON_00001082
sugar condiment,obo:FOODON_00001083
flax oil,obo:FOODON_00001088
flax seed oil,obo:FOODON_00001088
flaxseed oil,obo:FOODON_00001088
sour milk beverage,obo:FOODON_00001090
dried milk,obo:FOODON_00001091
alcoholic beverage,obo:FOODON_00001094
fermented beverage,obo:FOODON_00001094
fermented grape beverage,obo:FOODON_00001095
